,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
3355,College Diploma (DCS) Engineering ,Welding Engineering Technology - Inspection,4 Year(s),4 Month(s),Conestoga College,CO-OP
3356,College Diploma (DCS) Engineering ,Civil Engineering Technology - Construction,2 Year(s),4 Month(s),Georgian College  ,CO-OP
3357,Master Applied Sciences,Forensic Anthropology,2 Year(s),4 Month(s),Saint Mary's University,CO-OP
3358,Master ,Forensic Anthropology,2 Year(s),4 Month(s),Saint Mary's University,CO-OP
3359,College Diploma (DCS) Engineering ,Civil Engineering Technology,3 Year(s),4 Month(s),Conestoga College,CO-OP
3360,Bachelor ,Police Studies,4 Year(s),4 Month(s),Georgian College  ,CO-OP
3361,College Diploma (DCS) ,Police Studies,2 Year(s),3.5 Month(s),MacEwan University,CO-OP
3362,Bachelor Arts & Social Sciences ,Political Science,4 Year(s),4-16  Month(s),McMaster University,CO-OP
3363,Bachelor Sciences ,Physics,4 Year(s),"4, 8, 12 or 16 Month(s)",Ontario Tech University,CO-OP
3364,Doctorate Social Sciences ,Clinical Psychology,5 Year(s),4 Month(s),University of Alberta,CO-OP
3365,Master Arts ,French,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3366,Bachelor Arts ,Spanish,"4,5 Year(s)",4-16 Month(s),Acadia University,CO-OP
3367,Bachelor Engineering ,Software Engineering and Society,4.5 Year(s),4 - 16 Month(s),McMaster University,CO-OP
3368,Bachelor Engineering ,Software Engineering,4 Year(s),4 Month(s),Western University,CO-OP
3369,Bachelor Sciences ,General Major Sciences,4 Year(s),4 Month(s),University of Lethbridge,CO-OP
3370,Graduate Certificate ,Computer Application Development,1 Year(s),4 Month(s),Conestoga College,CO-OP
3371,College Diploma (DCS) Arts ,General Arts,2 Year(s),4 Month(s),Camosun College (Lansdowne),CO-OP
3372,Bachelor Sciences ,Statistics,5 Year(s),4 Month(s),University of Manitoba,CO-OP
3373,Bachelor Sciences ,Statistics,4 Year(s),4 Month(s),Simon Fraser University,CO-OP
3374,Master Sciences ,Statistics,2 Year(s),4 Month(s),Simon Fraser University,CO-OP
3375,Bachelor Engineering ,Software Engineering,4 Year(s),"4, 8, 12 or 16 Month(s)",York University,CO-OP
3376,Bachelor Arts ,Political Science,4 Year(s),4 Month(s),Brock University,CO-OP
3377,Bachelor Arts ,Political Science,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3378,Master ,Political Science,2 Year(s),16 Month(s),Université du Québec à Montréal (UQAM),CO-OP
3379,Master Arts ,Political Science,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3380,Bachelor Business administration ,Supply Chain Management,5 Year(s),4 Month(s),University of Calgary,CO-OP
3381,Bachelor Business administration ,Supply Chain Management,4 Year(s),4-8 Month(s),Mount Royal University,CO-OP
3382,College Diploma (DCS) Business administration ,Supply Chain Operations Management,4 Year(s),4-8 Month(s),Conestoga College,CO-OP
3383,Bachelor Arts ,Political Science,4 Year(s),4-8 Month(s),University of Regina,CO-OP
3384,Bachelor Arts ,Political Science,4 Year(s),"4, 8, 12 Month(s)",University of Calgary,CO-OP
3385,Bachelor Sciences ,Computational Methods,4 Year(s),4 Month(s),Simon Fraser University,CO-OP
3386,Apprenticeship Vocational & Technical Training (excluding QC) Applied technology ,Powerline Technician,2 Year(s),4 Month(s),Conestoga College,CO-OP
3387,Bachelor Arts ,Psychology,4 Year(s),4-8 Month(s),University of Regina,CO-OP
3388,Bachelor Arts & Social Sciences ,Psychology,4 Year(s),4-16  Month(s),McMaster University,CO-OP
3389,College Diploma (DCS) Sciences ,Psychology,2 Year(s),4 Month(s),Camosun College (Lansdowne),CO-OP
3390,Master Sciences ,Psychology,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3391,Master Arts ,Psychology,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3392,Bachelor Arts ,Psychology -  Research Stream,4 Year(s),4 Month(s),Brock University,CO-OP
3393,Bachelor Arts ,Psychology -  Comprehensive Stream,4 Year(s),4 Month(s),Brock University,CO-OP
3394,Bachelor Arts ,Psychology,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3395,Bachelor Arts ,Psychology,4 Year(s),4 Month(s),Saint Mary's University,CO-OP
3396,Bachelor Sciences ,Psychology,4 Year(s),4 Month(s),Saint Mary's University,CO-OP
3397,Bachelor Communication ,Public Communication,4 Year(s),6 Month(s),University of Sudbury,CO-OP
3398,Bachelor Communication ,Public Communication,3 Year(s),3 Month(s),University of Sudbury,CO-OP
3399,Bachelor Commerce,Marketing,4 Year(s),"4, 8, 12 or 16 Month(s)",Ontario Tech University,CO-OP
3400,College Diploma (DCS) Business administration ,Public Administration,2 Year(s),4 Month(s),Camosun College (Interurban),CO-OP
3401,Bachelor Arts & Social Sciences ,Religious Studies,4 Year(s),4-16  Month(s),McMaster University,CO-OP
3402,Bachelor Arts ,Resource and Environmental Management,4 Year(s),4-8 Month(s),University of Regina,CO-OP
3403,Master Environment ,Resource and Environmental Management,2 Year(s),4 Month(s),Simon Fraser University,CO-OP
3404,Master Arts ,Religious Studies,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3405,Master Public Administration,Public Administration,1 Year(s),4 Month(s),Queen's University,CO-OP
3406,Bachelor Arts ,Religious Studies,4 Year(s),4-8 Month(s),University of Regina,CO-OP
3407,Bachelor Arts ,Religious Studies,4 Year(s),"4, 8, 12 Month(s)",University of Calgary,CO-OP
3408,Bachelor Commerce,Small Business and Entrepreneurship,4 Year(s),4 Month(s),Saint Mary's University,CO-OP
3409,Bachelor Arts & Social Sciences ,Sociology,4 Year(s),4-16  Month(s),McMaster University,CO-OP
3410,Bachelor Arts ,Sociology,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3411,Master Arts ,Sociology,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3412,Bachelor Arts ,Sociology,4 Year(s),"4, 8, 12 Month(s)",University of Calgary,CO-OP
3413,Bachelor Engineering ,Software,4 Year(s),4-8** Month(s),École de technologie supérieure,CO-OP
3414,Master Public Health ,Public Health,2 Year(s),4 Month(s),University of Saskatchewan,CO-OP
3415,Bachelor Health Sciences ,Public Health,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3416,College Diploma (DCS) Engineering ,Architectural Technology ,2 Year(s),4 Month(s),Red River College,CO-OP
3417,Bachelor Engineering ,Biosystems  Engineering ,5 Year(s),"4, 8, 12, 16 Month(s)",University of Manitoba,CO-OP
3418,Master Health Sciences ,Biomedical Discovery and Commercialization,1 Year(s),4 Month(s),McMaster University,CO-OP
3419,Bachelor Sciences ,Biology - Cell and Molecular,4 Year(s),4 Month(s),Simon Fraser University,CO-OP
3420,Bachelor Sciences ,Biology - Ecology,4 Year(s),4 Month(s),Simon Fraser University,CO-OP
3421,Bachelor Sciences ,Biology - Physiology,4 Year(s),4 Month(s),Simon Fraser University,CO-OP
3422,Bachelor Applied Sciences,Business Informatics,4 Year(s),4 Month(s),McMaster University,CO-OP
3423,Bachelor Sciences ,Biochemistry & Microbiology,4.5 Year(s),4 Month(s),Université de Saint-Boniface,CO-OP
3424,Master Arts ,Art Conservation,2 Year(s),3 Month(s),Queen's University,CO-OP
3425,Bachelor Arts ,"Art History, Visual Art and Theory",5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3426,College Diploma (DCS) ,Business Administration - Leadership & Management,3 Year(s),4 Month(s),Centennial College,CO-OP
3427,Bachelor Social Sciences ,Community and Criminal Justice,4 Year(s),4 Month(s),Conestoga College,CO-OP
