,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
497,Master Sciences ,Astronomy,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
498,Doctorate ,Astronomy,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
499,Bachelor Sciences ,Biochemistry,4-5 Year(s),16 Week(s),Carleton University,CO-OP
500,Bachelor Sciences ,Biochemistry,4 Year(s),16 Week(s),University of Lethbridge,CO-OP
501,Bachelor Sciences ,Biochemistry,5 Year(s),15 Week(s),University of Ottawa,CO-OP
502,Master Arts ,Business Economics,2 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
503,Bachelor Business administration ,Business Economics,4.5 Year(s),12 - 16 Week(s),Brock University,CO-OP
504,Bachelor Sciences ,Biochemistry,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
505,Bachelor Sciences ,Biochemistry,5 Year(s),16 Week(s),University of Guelph,CO-OP
506,College Diploma (DCS) Applied technology ,Business Information Technology,2 Year(s),16 Week(s),Red River College,CO-OP
507,College Diploma (DCS) Business administration ,Business Information Technology,3 Year(s),16-24 Week(s),Holland College,CO-OP
508,College Diploma (DCS) Business administration ,Business Management,3 Year(s),12* Week(s),Cégep Garneau,CO-OP
509,College Diploma (DCS) ,Business Management,2 Year(s),16 Week(s),Douglas College,CO-OP
510,Bachelor Business administration ,Business Management,4 Year(s),16 Week(s),Langara College,CO-OP
511,College Diploma (DCS) ,Business Management,2 Year(s),16 Week(s),Langara College,CO-OP
512,College Diploma (DCS) ,Business Management,"3,5 Year(s)",12 Week(s),Collège de Valleyfield,CO-OP
513,Master Sciences ,Water sciences,1 Year(s),12-16 Week(s),INRS - Université de recherche,CO-OP
514,Bachelor Arts ,Lettres françaises,5 Year(s),16 Week(s),University of Ottawa,CO-OP
515,Master ,Library and Information Science,1 Year(s),14 Week(s),Western University,CO-OP
516,Bachelor Arts ,Italian Studies,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
517,Bachelor Business administration ,Japan/Chinese/German Studies,4 Year(s),16 Week(s),University of Alberta,CO-OP
518,College Diploma (DCS) ,Laboratory Technician: Analytical chemistry,3 Year(s),12-16 Week(s),Cégep Shawinigan,CO-OP
519,College Diploma (DCS) ,Laboratory Technics (Biotechnology),3 Year(s),12 Week(s),Collège Ahuntsic,CO-OP
520,College Diploma (DCS) ,Laboratory Technics (chemistry - analytical),3 Year(s),12 Week(s),Collège Ahuntsic,CO-OP
521,College Diploma (DCS) ,Laboratory Techniques- Chemistry,3 Year(s),12-16 Week(s),Cégep de Jonquière,CO-OP
522,Bachelor Sciences ,Data Science,4 Year(s),16 Week(s),Simon Fraser University,CO-OP
523,Bachelor Business administration ,Management Analysis,4 Year(s),16 Week(s),University of Alberta,CO-OP
524,College Diploma (DCS) Computer Sciences ,Web Development and Internet Applications ,2 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
525,Apprenticeship Vocational & Technical Training (excluding QC) ,Internet/ Web Computing and Software Development,1 Year(s),16 Week(s),Langara College,CO-OP
526,Master Business administration ,Management of Innovation and New Technology,2 Year(s),16 Week(s),McMaster University,CO-OP
527,Bachelor Commerce,Management Economics and Finance,5 Year(s),16 Week(s),University of Guelph,CO-OP
528,Bachelor Applied Sciences,Management Engineering,5 Year(s),16 Week(s),University of Waterloo,CO-OP
529,Bachelor Management Sciences ,Management Systems,5 Year(s),16 Week(s),Lakehead University,CO-OP
530,Bachelor ,Management and Technology,4 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
531,College Diploma (DCS) ,Operations and Supply Chain Management,3 Year(s),2 Week(s),Cégep de Rimouski,CO-OP
532,College Diploma (DCS) Applied technology ,Precision Machining,2 Year(s),12-16 Week(s),Nova Scotia Community College,CO-OP
533,Bachelor Sciences ,Marine Biology,4 - 4.3 Year(s),13-17 Week(s),Dalhousie University,CO-OP
534,Bachelor Engineering ,Materials and Metallurgical Engineering,4 Year(s),14-16 Week(s),Université Laval,CO-OP
535,College Diploma (DCS) Business administration ,Supply Chain and Operations Management,3 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
536,Bachelor Arts ,Mathematical Economics,5 Year(s),16 Week(s),University of Guelph,CO-OP
537,Bachelor ,Mathematics & Computer Science (Integrated),3 Year(s),16 Week(s),Université Laval,CO-OP
538,Bachelor Sciences ,Biology,5 Year(s),16 Week(s),University of Waterloo,CO-OP
539,Bachelor Sciences ,Biology,4 Year(s),12-16 Week(s),Memorial University of Newfoundland,CO-OP
540,Bachelor Sciences ,Biology,5  Year(s),12-16  Week(s),University of British Columbia (Okanagan),CO-OP
541,Master Sciences ,Biology,2 Year(s),13-32 Week(s),University of Regina,CO-OP
542,Bachelor Computer Sciences ,Computer Science ,5 Year(s),48-64 Week(s),University of New Brunswick (Fredericton),CO-OP
543,Bachelor ,Biology,5 Year(s),12 Week(s),Thompson Rivers University,CO-OP
544,Bachelor Sciences ,Archaeology,5 Year(s),15 Week(s),University of Calgary,CO-OP
545,Bachelor Arts ,Archaeology,4 Year(s),16 Week(s),Simon Fraser University,CO-OP
546,Bachelor Arts ,Archaeology and Heritage Studies,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
547,Bachelor Sciences ,Applied Physics,4-5 Year(s),16 Week(s),Carleton University,CO-OP
548,Master Sciences ,Applied Psychological Science,2 Year(s),12-16 Week(s),Memorial University of Newfoundland,CO-OP
549,Master ,Applied Social Psychology,2 Year(s),16 Week(s),University of Saskatchewan,CO-OP
550,Doctorate ,Applied Social Psychology,2 Year(s),16 Week(s),University of Saskatchewan,CO-OP
551,Bachelor Sciences ,Biochemistry and Chemistry,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
552,Bachelor Sciences ,Biochemistry and Chemistry,4-5 Year(s),16-32  Week(s),University of Regina,CO-OP
553,Bachelor ,Bioinformatics,3 Year(s),12-16 Week(s),Université Laval,CO-OP
554,Bachelor Computer Sciences ,Computer Science ,5  Year(s),16 - 32  Week(s),University of Regina,CO-OP
555,Master Computer Sciences ,Computer Science ,2 Year(s),12-18 Week(s),Acadia University,CO-OP
556,Bachelor Sciences ,Bioinformatics,4-5 Year(s),16 Week(s),Carleton University,CO-OP
557,Master Sciences ,Atmospheric Sciences,2 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
558,Bachelor Sciences ,Atmospheric Sciences,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
559,College Diploma (DCS) ,Architecture,3 Year(s),12 Week(s),Cégep de Chicoutimi,CO-OP
560,Bachelor Sciences ,Architecture,5 Year(s),16 Week(s),University of Waterloo,CO-OP
561,Bachelor Sciences ,Biochemistry,5 Year(s),16 Week(s),University of Victoria,CO-OP
562,Bachelor Sciences ,Mathematics / Business Administration,5 Year(s),16 Week(s),University of Waterloo,CO-OP
563,Bachelor Sciences ,Mathematics Teaching Option,5 Year(s),16 Week(s),University of Waterloo,CO-OP
564,College Diploma (DCS) Engineering ,Mechanical Engineering (Maritime),4 Year(s),12  Week(s),Cégep de Rimouski,CO-OP
565,Bachelor Engineering ,Mechanical Engineering (Materials option),4 Year(s),16 Week(s),University of Windsor,CO-OP
566,College Diploma (DCS) ,Mechanical Engineering Techniques,3 Year(s),16 Week(s),Cégep Shawinigan,CO-OP
567,College Diploma (DCS) Engineering ,Mechanical Engineering Technology- Automotive Products Design,3 Year(s),4 Week(s),Georgian College  ,CO-OP
568,College Diploma (DCS) Engineering ,Mechanical Manufacturing Engineering Technology,3 Year(s),12-16 Week(s),College of the North Atlantic (Ridge Road),CO-OP
569,College Diploma (DCS) ,Mechanical Technician,3 Year(s),16 Week(s),New Brunswick Community College NBCC (Saint-John),CO-OP
570,College Diploma (DCS) ,"Mechanical Technician Apprenticeship - Tool and Die/Tool Maker, General Machinist",3 Year(s),56 Week(s),Conestoga College,CO-OP
571,College Diploma (DCS) ,Management networking and Telecommunication,2 Year(s),8 Week(s),Collège Marsan,CO-OP
572,Bachelor Sciences ,Natural Resource Management - Resource Recreation,4 Year(s),16 Week(s),University of Northern British Columbia,CO-OP
573,Master ,Infrastructure Protection and International Security,2 Year(s),16 Week(s),Carleton University,CO-OP
574,Bachelor Sciences ,Nanoscience,5 Year(s),16 Week(s),University of Guelph,CO-OP
575,Bachelor Applied Sciences,Nanotechnology Engineering,5 Year(s),16 Week(s),University of Waterloo,CO-OP
576,Bachelor Sciences ,Molecular Cell and Developmental Biology,5 Year(s),12-16 Week(s),University of British Columbia (Okanagan),CO-OP
577,Bachelor Arts ,Multimedia / New Media,4 Year(s),12 Week(s),University of Lethbridge,CO-OP
578,College Diploma (DCS) Computer Sciences ,Multimedia Design & Production technician,2 Year(s),16 Week(s),Humber College,CO-OP
579,College Diploma (DCS) ,Multimedia Technics,2 Year(s),8 Week(s),Collège Marsan,CO-OP
580,College Diploma (DCS) ,Multimedia integration techniques,3 Year(s),6 Week(s),Collège de Maisonneuve,CO-OP
581,Bachelor Arts ,"Modern Languages (French, German, Spanish, Japanese)",5 Year(s),12-16 Week(s),University of British Columbia (Okanagan),CO-OP
582,College Diploma (DCS) Forestry ,Forest Ecosystem Technology,2 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
583,Bachelor Forestry ,Forest Resources Management,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
584,College Diploma (DCS) Environment ,Forestry & Fish-Wildlife Option,2 Year(s),16 Week(s),Nicola Valley Institute of Technology,CO-OP
585,Master Environment ,Forestry Management,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
586,Master Arts ,"French (Literature, Language and Culture)",4 Year(s),16-18 Week(s),University of Victoria,CO-OP
587,Master Arts ,French (Teaching Emphasis),4 Year(s),16-18 Week(s),University of Victoria,CO-OP
588,College Diploma (DCS) Applied Arts,Graphic & Print Production,2 Year(s),12-16 Week(s),Nova Scotia Community College,CO-OP
589,Bachelor Sciences ,Health Biochemistry,3 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
590,Master Health Sciences ,Health Care related fields (Nursing optional),2 Year(s),12 Week(s),Lakehead University,CO-OP
591,Bachelor Sciences ,Health Information Science,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
592,Bachelor Sciences ,Health Information Science and Computer Science,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
593,College Diploma (DCS) ,Instrumentation Engineering Technician,2 Year(s),16 Week(s),Confederation College,CO-OP
594,College Diploma (DCS) Engineering ,Instrumentation Engineering Technologist - Automation and Control,3  Year(s),12  Week(s),St. Lawrence College of Applied Arts and Technology,CO-OP
595,Bachelor Engineering ,"Instrumentation, Electronics & Controls",3 Year(s),16 Week(s),Cape Breton University,CO-OP
596,Master Public Health ,Health Policy & Management,2 Year(s),16 Week(s),University of Alberta,CO-OP
597,College Diploma (DCS) ,Integrated Environmental Planning Technology,2 Year(s),16 Week(s),Selkirk College,CO-OP
598,Bachelor Sciences ,Integrated Sciences,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
599,Master Health Sciences ,Health Services Administration,2 Year(s),16 Week(s),Dalhousie University,CO-OP
600,Master Business administration ,Health Services Management,2 Year(s),16 Week(s),McMaster University,CO-OP
601,Master Health Sciences ,Health Services Research,2 Year(s),16 Week(s),Dalhousie University,CO-OP
602,Bachelor Sciences ,Health Studies and Gerontology,5 Year(s),16 Week(s),University of Waterloo,CO-OP
603,Bachelor Sciences ,Human Nutrition,4 Year(s),16 Week(s),St. Francis Xavier University,CO-OP
604,Master Environment ,Energy Economics,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
605,College Diploma (DCS) Arts ,Fashion Arts,2 Year(s),16 Week(s),Holland College,CO-OP
606,Bachelor Arts ,Finance and Accounting,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
607,Bachelor Arts ,Finance and Economics,4 Year(s),16 Week(s),Algoma University,CO-OP
608,Bachelor Business administration ,Honours Accounting,3 Year(s),16 Week(s),McGill University ,CO-OP
609,Bachelor Business administration ,Honours Economics,3 Year(s),16 Week(s),McGill University ,CO-OP
610,Bachelor Business administration ,Honours Economics / Accounting,3 Year(s),16 Week(s),McGill University ,CO-OP
611,Bachelor Business administration ,Honours Economics / Finance,3 Year(s),16 Week(s),McGill University ,CO-OP
612,College Diploma (DCS) ,Horticulture Industries,2 Year(s),12 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
613,College Diploma (DCS) ,Hospitality Management Hotel and Resort,2 Year(s),20 Week(s),Georgian College  ,CO-OP
614,Bachelor Commerce,Service Management,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
615,Bachelor Commerce,Hospitality & Tourism Management,5 Year(s),16 Week(s),University of Guelph,CO-OP
616,College Diploma (DCS) Arts & Sciences ,"Hotel, Resort and Restaurant Administration",3 Year(s),20 Week(s),Canadore College,CO-OP
617,College Diploma (DCS) Arts & Sciences ,"Hotel, Resort and Restaurant Management",2 Year(s),20 Week(s),Canadore College,CO-OP
618,Master ,Electronic Business Technologies,2 Year(s),16 Week(s),University of Ottawa,CO-OP
619,College Diploma (DCS) Computer Sciences ,Electronic Communication Systems,3 Year(s),9-12 Week(s),Collège de Maisonneuve,CO-OP
620,College Diploma (DCS) ,Electronic Technology: telecommunications,3 Year(s),12-16 Week(s),Cégep Shawinigan,CO-OP
621,College Diploma (DCS) ,Electronics and Information Technology.,3 Year(s),12 - 16 Week(s),Cégep Heritage College,CO-OP
622,College Diploma (DCS) ,Electronics technics,3 Year(s),12 Week(s),Cégep de Drummondville,CO-OP
623,College Diploma (DCS) ,Dietetics Technician,3 Year(s),8-13 Week(s),Cégep de Saint-Hyacinthe,CO-OP
624,Bachelor Sciences ,Biochemistry,5 Year(s),16 Week(s),University of Waterloo,CO-OP
625,Bachelor Sciences ,Biochemistry and Molecular Biology,5 Year(s),12-16 Week(s),University of British Columbia (Okanagan),CO-OP
626,Bachelor Sciences ,Biochemistry,4 Year(s),16 Week(s),Simon Fraser University,CO-OP
627,Bachelor Arts & Sciences ,Biochemistry,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
628,Bachelor Sciences ,Biochemistry,4 Year(s),12-16 Week(s),Université de Moncton,CO-OP
629,Bachelor Sciences ,Biochemistry,5 Year(s),14 Week(s),University of Manitoba,CO-OP
630,Bachelor Arts & Sciences ,Music & Culture,4 Year(s),12 - 16  Week(s),Quest University Canada,CO-OP
631,Bachelor Arts & Sciences ,Music and Computer Science,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
632,Master Arts ,Musicology with Performance,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
633,Bachelor Applied Sciences,Mechatronics Engineering,5 Year(s),16 Week(s),University of Waterloo,CO-OP
634,Bachelor Arts ,Media and Communication Studies,4 Year(s),16 Week(s),University of the Fraser Valley,CO-OP
635,College Diploma (DCS) Engineering ,Industrial Engineering Techniques,3 Year(s),12 Week(s),Collège Ahuntsic,CO-OP
636,College Diploma (DCS) Applied technology ,Industrial Instrumentation,2 Year(s),12-16 Week(s),Nova Scotia Community College,CO-OP
637,College Diploma (DCS) ,Industrial Maintenance Mechanic,2 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
638,Bachelor Applied technology ,Industrial Management,4 Year(s),14 Week(s),St. Clair College (Windsor),CO-OP
639,Master Sciences ,Industrial Mathematics,1 Year(s),12 Week(s),Université de Montréal,CO-OP
640,Bachelor Sciences ,Industrial Mathematics/Operations Research,4 Year(s),16 Week(s),Simon Fraser University,CO-OP
641,Master Arts ,Indigeneous Governance,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
642,College Diploma (DCS) Applied technology ,Heritage Carpentry,2 Year(s),12-16 Week(s),Nova Scotia Community College,CO-OP
643,Master Social Sciences ,Globalization and International Development,2 Year(s),16 Week(s),University of Ottawa,CO-OP
644,College Diploma (DCS) ,Industrial Control Technology (Instrumentation),3 Year(s),16 Week(s),New Brunswick Community College NBCC (Saint-John),CO-OP
645,Master ,Information Studies,1 Year(s),16 Week(s),University of Ottawa,CO-OP
646,Master Applied Sciences,Information Systems Security,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
647,College Diploma (DCS) ,Computer systems technology - cybersecurity and networking,3 Year(s),16 Week(s),La Cité - Collège d'arts appliqués et de technologie ,CO-OP
648,College Diploma (DCS) ,Information Technology - Programmer Analyst,2.5 Year(s),26 Week(s),New Brunswick Community College NBCC (Saint-John),CO-OP
649,College Diploma (DCS) ,Information Technology Specialist,1 Year(s),5 Week(s),St. Lawrence College of Applied Arts and Technology,CO-OP
650,Bachelor Engineering ,Computer science and software engineering,4 Year(s),15 Week(s),Université du Québec à Montréal (UQAM),CO-OP
651,College Diploma (DCS) ,Information and Communications Technology,1 1/2 Year(s),16 Week(s),Memorial University of Newfoundland,CO-OP
652,Master ,Industrial-Organizational Psychology,2 Year(s),16 Week(s),University of Waterloo,CO-OP
653,College Diploma (DCS) ,Informatic Systems Technology,2 Year(s),16 Week(s),La Cité - Collège d'arts appliqués et de technologie ,CO-OP
654,Attestation of Collegial studies (ACS; QC Only) ,Informatics Management and Internet Programming,1 Year(s),12 Week(s),O'Sullivan College of Montreal,CO-OP
655,College Diploma (DCS) Social Sciences ,Information  Management/Library Technology,2 Year(s),4 Week(s),MacEwan University,CO-OP
656,Bachelor Arts ,Modern Languages,4 Year(s),16 Week(s),University of Lethbridge,CO-OP
657,Bachelor Sciences ,Biochemistry,4- 4.3 Year(s),13-17 Week(s),Dalhousie University,CO-OP
658,Bachelor Sciences ,Biochemistry,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
659,College Diploma (DCS) Health Sciences ,Medical Emergency,2 Year(s),16 Week(s),Holland College,CO-OP
660,College Diploma (DCS) Business administration ,Medical Support Services,2 Year(s),3 Week(s),Holland College,CO-OP
661,College Diploma (DCS) Computer Sciences ,Digital Media and IT,2 Year(s),15 Week(s),Northern Alberta Institute of Technology (NAIT),CO-OP
662,Bachelor Applied Sciences,Adult Development,4 Year(s),16 Week(s),University of Guelph,CO-OP
663,Master Health Sciences ,Advanced Practice Nursing & Health Informatics (online),2 Year(s),16-18 Week(s),University of Victoria,CO-OP
664,Master ,Diplomacy and International Affairs,2 Year(s),16 Week(s),Université de Montréal,CO-OP
665,Bachelor Sciences ,Ecology and Evolutionary Biology,5 Year(s),12-16 Week(s),University of British Columbia (Okanagan),CO-OP
666,College Diploma (DCS) Environment ,"Fish,  Wildlife and  Recreation",2 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
667,College Diploma (DCS) ,Fisheries & Aquaculture,2 Year(s),16 Week(s),Vancouver Island University,CO-OP
668,Bachelor Health Sciences ,Fitness/Lifestyle,4 Year(s),12 Week(s),University of Regina,CO-OP
669,Bachelor Arts ,Geography & Geomatics,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
670,Bachelor Sciences ,Geography (Including Geology/Water Resources),4 Year(s),16 Week(s),University of Lethbridge,CO-OP
671,College Diploma (DCS) Applied technology ,Electrical Power and Industrial Control Technology,2 Year(s),16 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
672,College Diploma (DCS) Business administration ,First Nations Public Administration,2 Year(s),16 Week(s),Nicola Valley Institute of Technology,CO-OP
673,College Diploma (DCS) ,Food Safety,1 Year(s),13 Week(s),Memorial University of Newfoundland,CO-OP
674,Bachelor Commerce,Food and Agricultural Business,5 Year(s),16 Week(s),University of Guelph,CO-OP
675,College Diploma (DCS) ,Food and Beverage Management,2 Year(s),12 Week(s),Fanshawe College,CO-OP
676,College Diploma (DCS) Arts & Sciences ,Food and Nutrition Administration,3 Year(s),20 Week(s),Canadore College,CO-OP
677,College Diploma (DCS) Arts & Sciences ,Food and Nutrition Management,2 Year(s),5 Week(s),Canadore College,CO-OP
678,Bachelor Sciences ,Geographic Information Science,4 Year(s),16 Week(s),Simon Fraser University,CO-OP
679,Bachelor Arts & Sciences ,Geographic Technologies,4 Year(s),16-18 Week(s),University of Victoria,CO-OP
680,Master Sciences ,Geographical Sciences ,2 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
681,Bachelor Arts & Sciences ,Global Studies,4 Year(s),12 -16 Week(s),Quest University Canada,CO-OP
682,Bachelor Arts ,Global Studies (International Development),4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
683,Bachelor Business administration ,Financial Services Management,4  Year(s),12 - 16  Week(s),Seneca College,CO-OP
684,College Diploma (DCS) Engineering ,Fire Protection Engineering Technology,3 Year(s),16 Week(s),Seneca College,CO-OP
685,Bachelor Sciences ,Geography and Computer Science (Geomatics) ,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
686,Bachelor Sciences ,Geography and Earth Sciences (Geosciences),5 Year(s),16-18 Week(s),University of Victoria,CO-OP
687,Bachelor Sciences ,Geography and Earth Sciences (Geotechnics),5 Year(s),16-18 Week(s),University of Victoria,CO-OP
688,Master ,Global Affairs,2 Year(s),10-16 Week(s),University of Toronto,CO-OP
689,Bachelor Sciences ,General Mathematics (3 year program),3 Year(s),16 Week(s),University of Waterloo,CO-OP
690,Bachelor Engineering ,Geodesy/Geomatics Engineering,4-5 Year(s),12-16 Week(s),University of New Brunswick (Fredericton),CO-OP
691,College Diploma (DCS) Engineering ,Construction Engineering Technician,2 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
692,College Diploma (DCS) Management Sciences ,Dairy Production,3 Year(s),16 Week(s),Cégep de Victoriaville,CO-OP
693,Graduate Certificate ,Database Application Developer,1 Year(s),16 Week(s),Seneca College,CO-OP
694,Bachelor Computer Sciences ,Database Management,4 Year(s),16 Week(s),University of the Fraser Valley,CO-OP
695,Master Arts & Sciences ,Demography,1 Year(s),12-16 Week(s),Université de Montréal,CO-OP
696,College Diploma (DCS) Health Sciences ,Dental Assistant,2 Year(s),16 Week(s),Holland College,CO-OP
697,Master Management Sciences ,Management of the Marine Environment,2 Year(s),12-17 Week(s),Université du Québec à Rimouski (UQAR),CO-OP
698,Bachelor Engineering ,Manufacturing,3 Year(s),16 Week(s),Cape Breton University,CO-OP
699,College Diploma (DCS) ,Geomatic Techniques,2 Year(s),12 Week(s),Cégep de Rimouski,CO-OP
700,Bachelor ,Geomatics Applied to the Environment,3 Year(s),12-17 Week(s),Université de Sherbrooke,CO-OP
701,Bachelor Sciences ,Computing and Computer Electronics,5 Year(s),12 - 16 Week(s),Wilfrid Laurier University,CO-OP
702,Bachelor Arts ,Concentration in Production and Design,4 Year(s),12-16 Week(s),Brock University,CO-OP
703,Master Environment ,Conflict Resolution,2 Year(s),16 Week(s),Simon Fraser University,CO-OP
704,Bachelor ,Conflict Studies and Human Rights,5 Year(s),16 Week(s),University of Ottawa,CO-OP
705,College Diploma (DCS) ,Cultural Resource Management,2 Year(s),16-18 Week(s),University of Victoria,CO-OP
706,Bachelor Arts ,Cultural Studies,4 Year(s),16 Week(s),Wilfrid Laurier University,CO-OP
707,College Diploma (DCS) Law ,Customs Border Services,2 Year(s),4 Week(s),Loyalist College,CO-OP
708,College Diploma (DCS) Law ,Customs and Border Services Administration,2 Year(s),5* Week(s),Fleming College,CO-OP
709,Bachelor Sciences ,Cellular and Physiological Sciences,5 Year(s),16 Week(s),University of British Columbia (Vancouver),CO-OP
710,College Diploma (DCS) ,Computer Numerical Control Machinist,2 Year(s),33 Week(s),British Columbia Institute of Technology (BCIT),CO-OP
711,College Diploma (DCS) ,Computer Programming Techniques,3 Year(s),13 Week(s),Collège de Maisonneuve,CO-OP
712,College Diploma (DCS) ,Computer Programming and Analysis,3 Year(s),16-32 Week(s),Seneca College,CO-OP
713,Bachelor Computer Sciences ,Computer Science (Options in Business and Digital Hardware),5 Year(s),16 Week(s),University of Waterloo,CO-OP
714,Bachelor Computer Sciences ,"Computer Science (Options in Business, Digital Hardware and Software Engineering)",5 Year(s),16 Week(s),University of Waterloo,CO-OP
715,College Diploma (DCS) ,Computer Science - Operations and Management,2 Year(s),12 Week(s),Thompson Rivers University,CO-OP
716,Bachelor Computer Sciences ,Computer Science - Theory,5 Year(s),16 Week(s),University of New Brunswick (Fredericton),CO-OP
717,Bachelor Sciences ,Computer Science and Mathematics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
718,Bachelor Sciences ,Computer Science and Physics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
719,Bachelor Sciences ,Computer Science and Statistics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
720,Bachelor Computer Sciences ,Computer Software Development,4 Year(s),16 Week(s),University of Windsor,CO-OP
721,Bachelor Computer Sciences ,Computer System Development,4 Year(s),16 Week(s),Cape Breton University,CO-OP
722,Bachelor Computer Sciences ,Computer Systems,3 Year(s),16 Week(s),Concordia University of Montreal,CO-OP
723,College Diploma (DCS) ,Computer Systems Technician - Electronics,2 Year(s),12 Week(s),Thompson Rivers University,CO-OP
724,College Diploma (DCS) ,Computer Systems and Networks Technology,3 Year(s),16 Week(s),Centennial College,CO-OP
725,Bachelor Computer Sciences ,Computer and Communication,4 Year(s),16  Week(s),Centennial College,CO-OP
726,College Diploma (DCS) Computer Sciences ,Computer systems Technician-Pembroke,2 Year(s),16 Week(s),Algonquin College of Applied Arts and Technology (Pembroke),CO-OP
727,College Diploma (DCS) ,Computerize systems technology,3 Year(s),12 - 19 Week(s),Cégep Gérald-Godin,CO-OP
728,College Diploma (DCS) Law ,"Protection, Security and Investigation",2 Year(s),4 Week(s),Loyalist College,CO-OP
729,Graduate Certificate ,Corporate Communications,1 Year(s),16 Week(s),Seneca College,CO-OP
730,College Diploma (DCS) ,Correctional Officer,1 Year(s),12 Week(s),Holland College,CO-OP
731,Bachelor Engineering ,Electrical and Biomedical Engineering,5 Year(s),4 - 16 Week(s),McMaster University,CO-OP
732,Master Arts ,Dispute Resolution,2-3 Year(s),16-18 Week(s),University of Victoria,CO-OP
733,Master Law ,Dispute Resolution and Law,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
734,Bachelor Engineering ,"Electrical Engineering,  Computer and Communications",5 Year(s),16 Week(s),Memorial University of Newfoundland,CO-OP
735,College Diploma (DCS) ,Events and Conventions Management,2 Year(s),16 Week(s),Holland College,CO-OP
736,Master Management Sciences ,Maritime Transportation Management,2 Year(s),12 - 17 Week(s),Université du Québec à Rimouski (UQAR),CO-OP
737,Bachelor Social Sciences ,Economics and Public Policies,5 Year(s),16 Week(s),University of Ottawa,CO-OP
738,College Diploma (DCS) Engineering ,Electrical Engineering Technician - Power,2 Year(s),16 Week(s),Mohawk College,CO-OP
739,College Diploma (DCS) Engineering ,Electrical Engineering Technology - Power and Control,3 Year(s),12-16 Week(s),College of the North Atlantic (Ridge Road),CO-OP
740,College Diploma (DCS) Engineering ,Electrical Engineering Technology - Telecommunications,3 Year(s),12  Week(s),Cégep de Jonquière,CO-OP
741,Bachelor Arts ,Environmental Studies and Applied Linguistics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
742,Bachelor Arts ,Environmental Studies and English,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
743,Bachelor Arts ,Environmental Studies and French,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
744,Bachelor Arts ,Environmental Studies and German,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
745,Bachelor Arts ,Environmental Studies and Hispanic Studies,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
746,Bachelor Arts ,Environmental Studies and History,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
747,Bachelor Arts ,Environmental Studies and Linguistics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
748,Bachelor Arts ,Environmental Studies and Mathematics,5 Year(s),16-18 Week(s),University of Victoria,CO-OP
