academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Environmental Technician,Technicien environnemental,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),Algonquin College of Applied Arts and Technology (Pembroke),Algonquin College of Applied Arts and Technology (Pembroke),Matt Wheatley,CO-OP,Coopératif
Certificat de deuxième cycle Sciences de l'informatique ,Graduate Certificate Computer Sciences ,Digital Solutions Management,Gestion des solutions numériques,16 Month(s),16 Mois,16 Week(s),16 Semaine(s),Conestoga College,Conestoga College,Main Contact Conestoga College,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences de l'informatique ,College Diploma (DCS) Computer Sciences ,Web Site Development and Electronic Commerce,Développement de sites web et commerce électronique,16 Month(s),16 Mois,6 Week(s),6 Semaine(s),Collège de Maisonneuve,Collège de Maisonneuve,Susan St-Laurent,CO-OP,Coopératif
Maîtrise Sciences de la gestion ,Master Management Sciences ,Management,Management,16 Month(s),16 Mois,10-12 Week(s),10-12 Semaine(s),HEC Montréal,HEC Montréal,Elaine  Pelletier,CO-OP,Coopératif
Attestation d'études collégiales (AEC; QC seulement) ,Attestation of Collegial studies (ACS; QC Only) ,Network Management,Gestion de réseaux,12 Month(s),12 Mois,12 Week(s),12 Semaine(s),O'Sullivan College of Montreal,Collège O'Sullivan de Montréal,Micheline Healy,CO-OP,Coopératif
Maîtrise Sciences de la gestion ,Master Management Sciences ,Business Analytics,Analytique D'Entreprise,16 Month(s),16 Mois,10 Week(s),10 Semaine(s),Western University,Western University,Watson Madison,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Robotics Engineering,Génie robotique,4 Year(s),4 Année(s),12-17 Week(s),12-17 Semaine(s),Université de Sherbrooke,Université de Sherbrooke,Caroline Rousseau,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Building Engineering,Génie du batiment,4 Year(s),4 Année(s),12-17 Week(s),12-17 Semaine(s),Université de Sherbrooke,Université de Sherbrooke,Caroline Rousseau,CO-OP,Coopératif
Baccalauréat Droit ,Bachelor Law ,Bachelor of Public Safety (Honours),Baccalauréat en sécurité publique (avec distinction)Baccalauréat en sécurité publique (avec distinction),4 Year(s),4 Année(s),16 Week(s),16 Semaine(s),Algonquin College of Applied Arts and Technology (Ottawa),Algonquin College of Applied Arts and Technology (Ottawa),Matt Wheatley,CO-OP,Coopératif
Baccalauréat Technologie appliquée ,Bachelor Applied technology ,Bachelor of Automation and Robotics (Honours),Baccalauréat en automatisation et robotique (avec distinction),4 Year(s),4 Année(s),16 Week(s),16 Semaine(s),Algonquin College of Applied Arts and Technology (Ottawa),Algonquin College of Applied Arts and Technology (Ottawa),Matt Wheatley,CO-OP,Coopératif
