academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Baccalauréat Administration des affaires ,Bachelor Business administration ,Bachelor of Business Administration (BBA)  Co-op,Licence en administration des affaires (BBA) - Co-op,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Deborah Earle,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Bachelor of Business Administration (BBA)  Co-op,Licence en administration des affaires (BBA) - Co-op,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Deborah Earle,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Bachelor of Business Administration (BBA)  Co-op,Licence en administration des affaires (BBA) - Co-op,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Deborah Earle,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Bachelor of Business Administration (BBA)  Co-op,Licence en administration des affaires (BBA) - Co-op,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Deborah Earle,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Biology,Biologie,4 Year(s),4 Année(s),12 Month(s),12 Mois,Redeemer University,Redeemer University,Bruce Wilson,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Chemistry,Chimie,4 Year(s),4 Année(s),12 Month(s),12 Mois,Redeemer University,Redeemer University,Bruce Wilson,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Environmental Science & Studies,Sciences et études de l'environnement,4 Year(s),4 Année(s),12 Month(s),12 Mois,Redeemer University,Redeemer University,Bruce Wilson,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Animal Health Technology ,Technologie de la santé animale,2 Year(s),2 Année(s),4 Month(s),4 Mois,Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Gestion,College Diploma (DCS) Management,Disaster and Emergency Management,Gestion des catastrophes et des urgences,2 Year(s),2 Année(s),4 Month(s),4 Mois,Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Geoscience Technology,Technologie géoscientifique,2 Year(s),2 Année(s),4 Month(s),4 Mois,Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Gestion,College Diploma (DCS) Management,Hospitality Management ,Gestion hôtelière,2 Year(s),2 Année(s),4 Month(s),4 Mois,Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Baccalauréat Environnement ,Bachelor Environment ,Ecology and Environment ,Écologie et environnement,3 Year(s),3 Année(s),4 Month(s),4 Mois,Université du Québec en Outaouais (UQO),Université du Québec en Outaouais (UQO),David Rivest,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Ancient Greek & Roman Studies,Études grecques et romaines antiques,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Arts & Sciences,Arts & Sciences,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Canadian Studies,Études canadiennes,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Cultural Studies,Études culturelles,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Economics,Economie,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,English Literature,Littérature anglaise,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,French & Franocphone Studies,Études françaises et francophones,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Gender & Social Justice,Genre et justice sociale,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,History,Histoire,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Indigenous Environmental Studies,Études environnementales autochtones,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Indigenous Studies,Études autochtones,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,International Development Studies,Études de développement international,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Media Studies,Etudes des medias,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Philosophy,Philosophie,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Political Studies,Études politiques,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Arts & Sciences sociales ,Bachelor Arts & Social Sciences ,Sociology,Sociologie,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Sabrina   Kuipers,CO-OP,Coopératif
Baccalauréat Sciences de l'informatique ,Bachelor Computer Sciences ,Computer Science,L'informatique,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Tim Claydon,CO-OP,Coopératif
Baccalauréat Sciences de l'informatique ,Bachelor Computer Sciences ,Financial Science,Sciences financières,4 Year(s),4 Année(s),4 Month(s),4 Mois,Trent University (Peterborough),Trent University (Peterborough),Tim Claydon,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Mechanical Engineering,Génie mécanique,5 Year(s),5 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Mechanical Engineering and Management,Génie mécanique et gestion,6 Year(s),6 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Mechatronics Engineering,Génie mécatronique,5 Year(s),5 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Mechatronics Engineering and Management,Génie et gestion de la mécatronique,6 Year(s),6 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Nuclear Engineering,Génie nucléaire,5 Year(s),5 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Nuclear Engineering and Management,Génie et gestion nucléaire,6 Year(s),6 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Software Engineering,Génie logiciel,5 Year(s),5 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Automotive Engineering,Génie automobile,5 Year(s),5 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Automotive Engineering and Management,Génie et gestion automobile,6 Year(s),6 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Electrical Engineering,Génie électrique,5 Year(s),5 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Electrical Engineering and Management,Génie électrique et gestion,6 Year(s),6 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Manufacturing Engineering,Génie de fabrication,5 Year(s),5 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Manufacturing Engineering and Management,Génie et gestion de fabrication,6 Year(s),6 Année(s),4 Month(s),4 Mois,Ontario Tech University,Ontario Tech University,Candace Chard,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Construction Engineering Technology ,Technologie du génie de la construction ,2 Year(s),2 Année(s),4 Month(s),4 Mois,Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Forest Technology ,Technologie forestière ,2 Year(s),2 Année(s),4 Month(s),4 Mois,Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Biological Sciences Technology - Conservation Biology,Technologie des sciences biologiques - Biologie de la conservation ,2 Year(s),2 Année(s),4 Month(s),4 Mois,Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Biological Sciences Technology - Laboratory Research and Biotechnology ,Technologie des sciences biologiques - Recherche en laboratoire et biotechnologie ,2 Year(s),2 Année(s),4 Month(s),4 Mois,Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Biological Sciences Technology - Environmental Monitoring and Assessment,Technologie des sciences biologiques - Surveillance et évaluation de l'environnement,2 Year(s),2 Année(s),4 Month(s),4 Mois,Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Certificat de deuxième cycle Sciences appliquées,Graduate Certificate Applied Sciences,Cosmetic Science,Science Cosmetiques,1 Year(s),1 Année(s),4 Month(s),4 Mois,Seneca College,Seneca College,Zahra Hirji,CO-OP,Coopératif
Certificat post-baccalauréat ,Post-Baccalaureate Certificate ,Marketing Management,Gestion du marketing,1 Year(s),1 Année(s),4 Month(s),4 Mois,Sheridan College,Sheridan College,Laura Newman,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Financial Mathematics,Mathématiques Financières,5 Year(s),5 Année(s),"4, 8 or 12 Month(s)","4, 8 or 12 Mois",Toronto Metropolitan University (formerly Ryerson University) ,Université métropolitaine de Toronto (anciennement Université Ryerson) ,Anne Cisterna,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Agricultural Science,Science agricole,4 Year(s),4 Année(s),16 Month(s),16 Mois,University of the Fraser Valley,University of the Fraser Valley,Deanna Devitt,CO-OP,Coopératif
Diplôme d'études supérieures spécialisées (DESS) Arts & Sciences,Graduate Diploma Arts & Sciences ,Environnement et développement durable,Sustainable development and environment,1 Year(s),1 Année(s),4 Month(s),4 Mois,Université de Montréal,Université de Montréal,François Girard,CO-OP,Coopératif
Études appliquées Administration des affaires ,Applied Degree Business administration ,Honours Bachelor of Business Administration (Hospitality),Honours Bachelor of Business Administration (Hospitality),4 Year(s),4 Année(s),6 Month(s),6 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Études appliquées Administration des affaires ,Applied Degree Business administration ,Honours Bachelor of Business Administration (Human Resources),Honours Bachelor of Business Administration (Human Resources),4 Year(s),4 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Études appliquées Administration des affaires ,Applied Degree Business administration ,Honours Bachelor of Business Administration (International Commerce and Global Development),Honours Bachelor of Business Administration (International Commerce and Global Development),4 Year(s),4 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Business Administration - Accounting (Co-op),Business Administration - Accounting (Co-op),3 Year(s),3 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Business Administration - Human Resources (Co-op),Business Administration - Human Resources (Co-op),3 Year(s),3 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Business Administration - Marketing (Co-op),Business Administration - Marketing (Co-op),3 Year(s),3 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Business Administration - Supply Chain and Operations Management,Business Administration - Supply Chain and Operations Management,3 Year(s),3 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Carpentry and Renovation Technician (Co-op),Carpentry and Renovation Technician (Co-op),2 Year(s),2 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences de l'informatique ,College Diploma (DCS) Computer Sciences ,Computer Programmer Analyst (Co-op),Computer Programmer Analyst (Co-op),3 Year(s),3 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Culinary Innovation and Food Technology (Co-op),Culinary Innovation and Food Technology (Co-op),3 Year(s),3 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Culinary Management (Co-op),Culinary Management (Co-op),2 Year(s),2 Année(s),6 Month(s),6 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electrical Engineering Technology (Co-op),Electrical Engineering Technology (Co-op),3 Year(s),3 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electronics Engineering Technology (Co-op),Electronics Engineering Technology (Co-op),3 Year(s),3 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Environmental Technician - Field and Laboratory (Co-op),Environmental Technician - Field and Laboratory (Co-op),2 Year(s),2 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Greenhouse Technician (Co-op),Greenhouse Technician (Co-op),2 Year(s),2 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Horticultural Technician (Co-op),Horticultural Technician (Co-op),2 Year(s),2 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences de la gestion ,College Diploma (DCS) Management Sciences ,Hospitality - Hotel and Restaurant Operations (Co-op),Hospitality - Hotel and Restaurant Operations (Co-op),2 Year(s),2 Année(s),6 Month(s),6 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Landscape Technician (Co-op),Landscape Technician (Co-op),2 Year(s),2 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Droit ,College Diploma (DCS) Law ,Law Clerk (Co-op),Law Clerk (Co-op),2 Year(s),2 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Mechanical Engineering Technology (Co-op),Mechanical Engineering Technology (Co-op),4 Year(s),4 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Motive Power Technician - Automotive (Co-op),Motive Power Technician - Automotive (Co-op),2 Year(s),2 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Office Administration - Executive (Co-op),Office Administration - Executive (Co-op),2 Year(s),2 Année(s),4 Month(s),4 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Tourism Management - Business Development (Co-op),Tourism Management - Business Development (Co-op),2 Year(s),2 Année(s),6 Month(s),6 Mois,Niagara College ,Niagara College ,NC Career Services,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Aviation Technician - Aircraft Maintenance,,2 Year(s),2 Année(s),3 Month(s),3 Mois,Canadore College,Canadore College,Wade Culliton,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Aviation Technician - Avionics Maintenance,,2 Year(s),2 Année(s),3 Month(s),3 Mois,Canadore College,Canadore College,Wade Culliton,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Aviation Technology - Aircraft Maintenance and Avionic,,3 Year(s),3 Année(s),3 Month(s),3 Mois,Canadore College,Canadore College,Wade Culliton,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Aviation Technology - Aircraft Maintenance and Structures,,3 Year(s),3 Année(s),3 Month(s),3 Mois,Canadore College,Canadore College,Wade Culliton,CO-OP,Coopératif
Diplôme d'études supérieures spécialisées (DESS) Sciences de la gestion ,Graduate Diploma Management Sciences ,Information Technologies,Technologies de l'information,2 Year(s),2 Année(s),2 Month(s),2 Mois,Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Sylvain Proulx,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences de l'informatique ,College Diploma (DCS) Computer Sciences ,Computer Programmer,Programmeur informatique,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Karen Hendra,CO-OP,Coopératif
Certificat d'études collégiales Sciences de l'informatique ,College Certificate Computer Sciences ,Computer Software and Database Development,Développement de logiciels et de bases de données,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Karen Hendra,CO-OP,Coopératif
Certificat de deuxième cycle Sciences de l'informatique ,Graduate Certificate Computer Sciences ,Information Technology Professional,Professionnel de la technologie de l'information ,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Karen Hendra,CO-OP,Coopératif
Certificat d'études collégiales Sciences de l'informatique ,College Certificate Computer Sciences ,Education Technology and Instructional Design,Technologie de l'éducation et de concption pédagogique,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Karen Hendra,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Chemical Production and Power Engineering Technology - Accelerated,Technicien en production chimique et génie de l'énergie - Accéléré,2 Year(s),2 Année(s),6 Month(s),6 Mois,Lambton College,Lambton College,Patti Helps,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Chemical Production and Power Engineering Technician,Technicien en production chimique et génie de l'énergie,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Patti Helps,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Environmental Technician Water & Wastewater Systems Operations,Technicien en environnement Opérations des systèmes d'eau et d'eaux usées,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Patti Helps,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Power Engineering Technology - Accelerated,Technicien en génie de l'énergie - Accéléré,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Patti Helps,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electrical Power Distribution and Control Technician,Technicien en distribution et contrôle d'énergie électrique,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Diane Da Silva,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,"Hospitality - Culture, Leadership and Operations","Hospitalité - Culture, leadership et opérations",2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Diane Da Silva,CO-OP,Coopératif
Certificat d'études collégiales Administration des affaires ,College Certificate Business administration ,Hospitality Management - International,Gestion de l'hospitalité - Internationale,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Diane Da Silva,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Instrumentation & Control Engineering Technology - Accelerated,Technologie de l'ingénierie de l'instrumentation et du contrôle - Accélérée,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Diane Da Silva,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Millwright Mechanical Technician,Technicien mécanique Milwright,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Diane Da Silva,CO-OP,Coopératif
Certificat de deuxième cycle Technologie appliquée ,Graduate Certificate Applied technology ,Regulatory Affairs - Sciences,,1 Year(s),1 Année(s),4 Month(s),4 Mois,Algonquin College of Applied Arts and Technology (Ottawa),Algonquin College of Applied Arts and Technology (Ottawa),Matt Wheatley,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Mechanical Engineering Technology,,3 Year(s),3 Année(s),4 Month(s),4 Mois,Algonquin College of Applied Arts and Technology (Ottawa),Algonquin College of Applied Arts and Technology (Ottawa),Matt Wheatley,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Biomedical Science,Science biomédicale,5 Year(s),5 Année(s),"4, 8, 12 Month(s)","4, 8, 12 Mois",Toronto Metropolitan University (formerly Ryerson University) ,Université métropolitaine de Toronto (anciennement Université Ryerson) ,Anne Cisterna,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences ,College Diploma (DCS) Sciences ,Renovation Construction Technician,Technicien en construction de rénovation,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Diane Da Silva,CO-OP,Coopératif
Certificat de deuxième cycle Administration des affaires ,Graduate Certificate Business administration ,Business Management - Human Resources,Gestion des Affaires- Ressources Humaines,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Melanie Beyak,CO-OP,Coopératif
Certificat de deuxième cycle Administration des affaires ,Graduate Certificate Business administration ,Business Management - International Business,Gestion des Affaires - Affaires Internationnales ,2 Year(s),2 Année(s),4 Month(s),4 Mois,Lambton College,Lambton College,Melanie Beyak,CO-OP,Coopératif
Certificat de deuxième cycle Administration des affaires ,Graduate Certificate Business administration ,Project Management,Gestion de Projet,1 Year(s),1 Année(s),4 Month(s),4 Mois,Sheridan College,Sheridan College,Maria  Garofalo,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Power Engineering,Génie Électrique,3 Year(s),3 Année(s),4 Month(s),4 Mois,Cambrian College,Cambrian College,Pamela Crich,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Financial Services,Services financiers,2 Year(s),2 Année(s),4 Month(s),4 Mois,Bow Valley College,Bow Valley College,Co-op Department Bow Valley College,CO-OP,Coopératif
Maîtrise Communication ,Master Communication ,Communication,Communication,2 Year(s),2 Année(s),4 Month(s),4 Mois,Simon Fraser University,Simon Fraser University,Liesl Jurock,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Mathematical Physics,Physique mathématique,4 Year(s),4 Année(s),4 Month(s),4 Mois,Simon Fraser University,Simon Fraser University,Natalie  Erickson,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,General Studies,Études générales,5 Year(s),5 Année(s),4 Month(s),4 Mois,Carleton University,Carleton University,Cam Collins,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Environmental Engineering,Génie environnemental,5 Year(s),5 Année(s),"4, 8, 12, 16 Month(s)","4, 8, 12, 16 Mois",University of Saskatchewan,University of Saskatchewan,Kristen Cutting,CO-OP,Coopératif
